cid,boro,x,y
3102621,,-8226980.13,4978183.82
4426723,bronx,-8225243.55,4988129.92
3548944,,-8231493.03,4971093.79
257289,queens,-8224024.63,4973589.89
4448843,bronx,-8226334.48,4992051.67
4101430,queens,-8211797.27,4962469.30
4183651,staten island,-8252166.17,4958050.70
3772789,,-8229853.29,4983061.31
201471,queens,-8219519.37,4950560.36
4159386,brooklyn,-8231271.50,4962622.65
12415,manhattan,-8235980.56,4970994.27
4229153,,-8235388.10,4980121.06
4529608,brooklyn,-8237397.42,4960895.27
4341139,,-8236820.22,4971736.54
3344031,brooklyn,-8227622.17,4962203.55
3412574,,-8230248.48,4989806.21
330903,brooklyn,-8237744.51,4950170.14
151650,brooklyn,-8233074.56,4959283.89
3712076,bronx,-8226696.27,4985761.65
3670052,staten island,-8256771.91,4947878.35
4367535,bronx,-8225258.03,4988138.31
3241289,brooklyn,-8232678.84,4966857.01
3091031,,-8223013.81,4972981.24
3803291,,-8234022.21,4965512.59
4187708,brooklyn,-8231960.57,4963621.34
3696125,brooklyn,-8232763.19,4961406.76
101012,bronx,-8224410.51,4988567.40
4265359,brooklyn,-8237701.76,4956964.15
33512,manhattan,-8234803.15,4975048.78
46394,manhattan,-8233719.01,4977602.05
53330,manhattan,-8234228.68,4980723.91
4513349,,-8224255.04,4994195.47
196308,brooklyn,-8230664.51,4968590.30
3467820,queens,-8207838.75,4967695.21
3273789,queens,-8209517.89,4963551.23
4387566,,-8235786.62,4967259.58
4183531,,-8230284.10,4963633.81
46510,manhattan,-8232006.42,4979486.52
3458340,manhattan,-8235663.06,4977701.97
4110352,manhattan,-8235570.00,4975528.57
4034195,,-8229360.82,4963567.04
3736034,,-8234233.72,4951469.85
4245052,,-8238879.75,4970481.33
3149655,queens,-8208608.43,4966316.83
2820662,brooklyn,-8237461.42,4959076.79
4534479,,-8226507.03,4992059.47
3988865,,-8233293.07,4980070.63
4236440,bronx,-8224384.17,4987649.40
3629734,,-8228141.20,4966357.27
4370022,manhattan,-8230776.58,4983584.11
119270,brooklyn,-8235138.23,4953007.57
3873389,,-8231322.71,4964987.52
284509,queens,-8224582.12,4977242.31
33696,manhattan,-8234389.71,4975175.30
4503123,bronx,-8221693.58,4992846.99
3166815,manhattan,-8238575.16,4970627.92
4235297,,-8256087.40,4951738.39
109678,bronx,-8224061.40,4995754.15
3886714,,-8228544.18,4985147.10
4591850,,-8234280.47,4983921.63
3620928,manhattan,-8233672.67,4977094.09
4440828,manhattan,-8235147.65,4980981.41
4147141,brooklyn,-8227665.87,4959003.00
1010787,brooklyn,-8233166.95,4958978.31
4044738,manhattan,-8238611.35,4971025.64
3970996,,-8229318.96,4983753.98
242931,queens,-8229624.49,4974689.78
3588843,queens,-8215343.91,4968713.50
3349885,brooklyn,-8235323.27,4967235.99
3314296,brooklyn,-8232059.02,4964796.91
3962986,,-8234406.26,4974828.41
3908516,manhattan,-8235014.62,4976137.38
282024,queens,-8225709.30,4976238.54
3890711,queens,-8220074.99,4977336.59
4604832,,-8236325.85,4952068.22
3275546,,-8233451.02,4967978.26
3961571,staten island,-8250430.26,4953832.61
149168,brooklyn,-8234105.10,4958989.17
3236132,brooklyn,-8227805.63,4966106.62
3004008,,-8224446.03,4967063.04
4231665,,-8208198.31,4978574.16
4191485,brooklyn,-8227640.26,4961369.78
3722785,queens,-8216877.89,4980022.12
4246048,,-8226020.56,4956990.84
4357867,manhattan,-8236893.14,4971474.21
4212086,,-8211485.58,4975036.76
4452699,manhattan,-8232381.36,4982879.41
280136,queens,-8223106.87,4975412.61
4546241,,-8220118.40,4974280.81
253005,queens,-8218573.98,4977564.37
3382386,queens,-8225090.01,4971316.88
4262339,bronx,-8226158.60,4989558.99
3928798,queens,-8223305.48,4973977.12
3276701,bronx,-8223930.70,4993350.36
3982543,queens,-8221339.58,4973677.70
4572364,queens,-8208945.27,4964770.28
161101,brooklyn,-8227726.76,4964718.92
1008217,manhattan,-8238644.88,4969211.04
4239186,manhattan,-8235869.00,4977751.94
340671,queens,-8222552.71,4976015.95
4015384,manhattan,-8238246.78,4973268.11
31600,manhattan,-8236393.96,4976053.00
3291802,brooklyn,-8231558.52,4966806.80
4116485,queens,-8214077.65,4972003.88
3468568,,-8234407.37,4975301.99
3243330,manhattan,-8235999.61,4974747.00
4238805,brooklyn,-8236067.15,4958901.20
3179967,queens,-8226101.32,4974997.58
2927005,,-8223535.94,4988477.71
3944784,brooklyn,-8227487.75,4961506.98
4306558,,-8216603.49,4967083.40
4353100,manhattan,-8236340.99,4975173.42
3695082,queens,-8219164.95,4976612.05
107171,bronx,-8226778.07,4994366.58
313107,brooklyn,-8231022.46,4961733.60
3140301,queens,-8225981.94,4968299.25
375235,manhattan,-8238533.65,4968991.78
3377839,queens,-8226026.42,4974461.51
3212118,queens,-8209565.18,4969871.47
4622069,,-8226695.72,4960580.11
4327999,brooklyn,-8237336.19,4952941.07
3595081,,-8218427.46,4990131.00
4549041,bronx,-8226086.24,4989749.85
3035399,,-8212083.35,4974749.67
3745939,bronx,-8224516.64,4991265.55
3383564,brooklyn,-8240095.77,4960503.99
3548733,,-8254290.15,4954931.14
4407541,brooklyn,-8232189.89,4960682.81
3495065,,-8233241.86,4962356.16
4136014,bronx,-8220174.06,4991703.27
276269,queens,-8227513.46,4976165.17
4112956,,-8232617.36,4951411.51
3647108,bronx,-8226632.82,4984677.60
4502350,,-8228067.73,4989569.29
3463072,,-8225989.39,4975330.05
3594131,queens,-8222020.30,4969518.51
3241390,queens,-8211719.17,4963303.17
3773824,,-8242201.97,4956306.67
3903626,brooklyn,-8238734.36,4965254.67
3795376,bronx,-8225848.02,4991754.79
4589887,queens,-8224663.58,4975009.43
3893021,queens,-8221461.47,4966755.42
301235,staten island,-8252408.21,4948170.21
3939730,,-8221099.13,4998175.78
3661425,manhattan,-8228930.46,4992817.54
3065822,,-8219699.26,4976786.36
278493,queens,-8229228.56,4975889.71
4478112,bronx,-8229215.43,4988184.36
3786441,brooklyn,-8224916.27,4963140.99
4527588,queens,-8224270.62,4975750.90
3584481,queens,-8220382.23,4965594.79
3487116,,-8238207.82,4960874.43
93388,bronx,-8227269.65,4990507.96
4503456,,-8208891.83,4976341.65
3689514,brooklyn,-8226869.93,4957767.90
3184187,manhattan,-8234547.89,4975510.50
3964451,manhattan,-8237104.65,4974766.70
3394715,bronx,-8218495.34,4990040.61
2813288,queens,-8217026.08,4973156.18
3806291,brooklyn,-8232420.77,4959080.31
3951594,,-8209492.96,4967927.05
3246289,manhattan,-8234501.18,4982099.75
148175,brooklyn,-8233090.04,4956175.46
3397767,queens,-8223532.70,4977396.55
169174,brooklyn,-8224793.98,4962182.49
3388411,brooklyn,-8232048.60,4952146.37
3787970,bronx,-8225029.82,4988330.76
3858849,staten island,-8256743.07,4944024.50
3451508,queens,-8208715.95,4967759.07
4528141,brooklyn,-8231707.43,4970863.64
4962,manhattan,-8239155.23,4969361.72
3694099,bronx,-8224896.90,4984470.52
159733,brooklyn,-8239642.18,4961079.58
3727666,queens,-8222031.32,4969931.33
193774,brooklyn,-8234245.79,4966178.70
3387055,queens,-8211649.61,4963964.04
12665,manhattan,-8235686.28,4970641.87
3701920,bronx,-8229927.32,4985903.60
3584337,,-8228401.69,4991443.05
4377721,,-8232788.79,4957292.68
3754146,queens,-8228180.16,4977578.06
270542,queens,-8214002.72,4966493.85
4185192,manhattan,-8237910.60,4973884.56
4620266,manhattan,-8230520.10,4989408.89
3762298,brooklyn,-8232078.57,4960224.76
4134877,,-8230654.24,4986443.33
4495550,bronx,-8222667.62,4988427.87
4074970,brooklyn,-8228734.53,4960123.38
107035,bronx,-8225745.35,4995199.45
4565290,bronx,-8225812.40,4991999.42
3999062,brooklyn,-8236413.35,4954488.75
135166,brooklyn,-8229935.27,4961635.74
2849826,,-8232075.75,4978124.93
3432567,,-8230808.42,4964949.94
3847933,queens,-8217855.28,4963218.48
79059,bronx,-8228051.03,4986443.98
3686886,manhattan,-8236903.16,4970992.00
2811342,brooklyn,-8229174.18,4962121.65
4250485,,-8231963.91,4951268.45
4176589,bronx,-8226363.43,4991974.10
4518329,manhattan,-8237413.00,4974209.55
3133084,queens,-8230535.95,4974249.70
55354,manhattan,-8235174.39,4979758.98
4145219,brooklyn,-8234036.68,4950640.52
3505633,,-8231023.26,4975655.39
3326285,brooklyn,-8230821.51,4971449.59
4363976,queens,-8224882.43,4976352.52
117382,brooklyn,-8230645.89,4953658.89
4115297,queens,-8217912.05,4962986.60
3753742,manhattan,-8230904.15,4985243.15
3225589,brooklyn,-8236245.56,4962881.27
3919172,,-8220479.08,4962940.08
354277,brooklyn,-8228786.69,4966016.91
4268178,bronx,-8229651.81,4985317.72
3216871,,-8211073.24,4952773.16
3936326,bronx,-8227524.49,4992056.23
1028628,queens,-8229231.33,4978736.88
151676,brooklyn,-8232926.31,4959780.32
4557597,manhattan,-8239572.60,4968910.71
14390,manhattan,-8235453.72,4972662.90
46718,manhattan,-8233533.08,4979210.90
4010765,bronx,-8225037.06,4995297.07
3828639,staten island,-8245275.50,4955034.52
3890607,queens,-8213416.97,4969377.83
4424358,,-8222220.67,4963483.09
3670311,,-8208426.52,4978240.50
4592023,manhattan,-8238208.93,4975251.59
3784403,queens,-8217855.28,4963218.48
3390704,bronx,-8223204.54,4989292.65
4031785,queens,-8215370.63,4968697.05
341499,brooklyn,-8229051.97,4958731.96
313768,queens,-8226216.73,4967327.08
3812464,,-8211815.08,4967872.28
3372860,bronx,-8223963.52,4996935.42
3817899,brooklyn,-8233506.24,4952252.93
4546103,brooklyn,-8224872.19,4965055.34
3730895,,-8237443.61,4967603.15
3220273,manhattan,-8238222.22,4971221.37
3588492,queens,-8214701.04,4966180.81
3585185,,-8233659.31,4977713.72
4544541,,-8212898.22,4971436.75
181203,brooklyn,-8232665.66,4965138.89
3383015,brooklyn,-8232834.22,4970065.25
4212627,bronx,-8220831.96,4988527.78
3669345,brooklyn,-8238662.01,4960299.14
199487,brooklyn,-8232727.05,4970774.68
3699558,queens,-8226494.78,4975771.77
4549295,manhattan,-8230540.14,4982346.05
8311,manhattan,-8237741.50,4970103.11
3977428,queens,-8218794.82,4968125.86
1001783,manhattan,-8236598.51,4975681.95
4468674,,-8228276.69,4968795.86
4385384,bronx,-8228997.25,4988271.47
4361364,brooklyn,-8234211.45,4960420.63
4579468,queens,-8225984.94,4978232.42
343428,brooklyn,-8229885.37,4964875.99
3251640,brooklyn,-8227988.31,4958726.93
4333743,queens,-8210810.43,4968936.99
1014376,manhattan,-8231165.23,4983067.99
3657092,,-8237736.94,4955369.15
4564158,queens,-8220479.08,4980561.22
88766,bronx,-8220172.32,4988740.41
3811550,,-8232365.77,4984469.34
4204924,bronx,-8228948.27,4983675.59
4565325,,-8229544.94,4962222.92
4342402,,-8222031.99,4950233.50
3466555,,-8230497.83,4983430.43
3565846,,-8240931.81,4954233.62
4196369,,-8229170.91,4968479.43
3838159,brooklyn,-8234397.36,4960321.59
3385716,brooklyn,-8234915.57,4958005.82
3842415,queens,-8221344.03,4972855.00
3138912,manhattan,-8237851.94,4971040.37
4126894,,-8237882.77,4972308.54
4449078,brooklyn,-8229784.28,4955348.03
3700200,queens,-8216469.35,4965518.46
4268225,queens,-8221052.93,4964040.36
3209207,manhattan,-8236822.21,4976775.06
3166670,queens,-8219777.92,4965250.26
4175344,brooklyn,-8233055.96,4966581.30
3799523,queens,-8227369.20,4977899.94
137851,brooklyn,-8228976.94,4961486.32
3947818,queens,-8224611.26,4974289.18
246443,queens,-8217183.50,4976634.15
3966842,,-8237136.93,4967915.89
4398366,,-8208751.57,4976437.76
320755,brooklyn,-8229209.30,4963266.03
186413,brooklyn,-8227471.13,4965855.25
4141396,bronx,-8226621.69,4989894.51
4296180,manhattan,-8235130.95,4975468.77
184657,brooklyn,-8228608.64,4968009.46
3543789,brooklyn,-8230701.55,4965396.62
4313759,,-8221411.94,4973043.04
311881,queens,-8208006.24,4973905.45
4520487,,-8231597.67,4980853.50
23802,manhattan,-8235511.59,4974356.52
3549166,brooklyn,-8236362.14,4959672.40
4524811,bronx,-8227942.49,4994133.64
4116857,,-8233175.07,4961679.39
56713,manhattan,-8230974.98,4981977.30
2914885,bronx,-8220491.79,4989177.17
3618358,manhattan,-8231181.34,4988481.87
3985898,,-8229518.22,4987875.09
13570,manhattan,-8236373.42,4970176.00
4542638,queens,-8222895.83,4971284.44
3836451,,-8223235.35,4994138.06
342710,manhattan,-8234028.02,4978736.63
3972696,,-8228243.61,4968146.41
4504405,,-8230904.15,4985243.15
3281362,queens,-8224630.62,4974013.73
3945752,queens,-8223329.97,4974421.56
265913,queens,-8221066.92,4969352.13
4301414,,-8215019.53,4966718.42
3363671,manhattan,-8230543.17,4985892.16
268225,queens,-8214212.91,4963202.36
3928458,queens,-8223450.20,4972519.34
4207114,brooklyn,-8232062.99,4953791.12
3234902,brooklyn,-8228513.91,4966278.16
3366621,brooklyn,-8237587.37,4958376.21
3666428,,-8210882.23,4978103.81
4172580,bronx,-8220963.76,4994400.71
3658535,queens,-8209134.51,4953833.64
3446400,,-8238650.43,4961304.34
54642,manhattan,-8235663.69,4979045.35
350771,bronx,-8225713.12,4985971.01
3193904,bronx,-8228712.22,4983414.79
212649,queens,-8213965.34,4969499.45
243042,queens,-8232950.81,4974783.10
161731,brooklyn,-8227937.20,4962141.83
3325136,queens,-8208496.12,4978161.84
2874887,,-8230401.69,4991890.11
3817813,queens,-8210217.65,4969424.38
3125892,queens,-8224376.59,4971753.36
105161,bronx,-8221422.80,4989163.43
3188159,brooklyn,-8235195.73,4958733.42
66887,manhattan,-8230850.84,4985336.85
353724,queens,-8208282.50,4964705.39
3745931,manhattan,-8231756.86,4978727.47
3971419,bronx,-8227596.85,4994176.04
241314,queens,-8231525.99,4975193.27
3576360,brooklyn,-8234397.36,4960321.59
3917642,queens,-8225059.88,4975459.07
3180413,brooklyn,-8229345.00,4963188.80
14454,manhattan,-8235909.23,4972417.04
2833784,,-8237006.85,4969566.99
223845,queens,-8212855.07,4963338.36
3989421,queens,-8220244.20,4978657.95
3152611,manhattan,-8235420.01,4977817.21
294411,staten island,-8245357.03,4954051.12
4451105,queens,-8219003.54,4968749.91
3580570,queens,-8214433.32,4965070.75
3429274,queens,-8225135.57,4975898.44
3614999,brooklyn,-8230163.88,4963360.83
150872,brooklyn,-8232875.91,4956206.75
4291620,brooklyn,-8230767.23,4962880.94
3308118,brooklyn,-8237562.15,4953879.93
3283797,manhattan,-8233358.80,4977039.57
3744498,staten island,-8252408.85,4948170.09
4026625,queens,-8222015.29,4968789.56
3129523,,-8219992.96,4969520.25
4121908,,-8233131.65,4980362.16
90948,bronx,-8219760.86,4988900.01
349634,manhattan,-8237739.49,4969909.64
4149259,,-8223820.89,4959972.71
4220581,queens,-8220991.82,4971868.89
3558050,brooklyn,-8230631.42,4969859.07
4247285,,-8255001.48,4951333.38
323705,bronx,-8228066.08,4989569.27
3343934,bronx,-8220805.07,4994869.66
4297992,manhattan,-8236673.28,4975852.30
4244685,brooklyn,-8231188.01,4958557.64
4428603,brooklyn,-8223087.85,4964139.29
3252080,brooklyn,-8227253.14,4963637.56
2828484,manhattan,-8230674.56,4984382.77
3375083,manhattan,-8237163.63,4970949.25
3574017,queens,-8223984.53,4977497.38
3675923,,-8224316.26,4997182.24
3270324,,-8225772.86,4958961.63
3614516,manhattan,-8234034.45,4983317.20
4620605,brooklyn,-8231426.24,4964984.73
3560798,manhattan,-8230604.14,4983238.52
163545,brooklyn,-8225116.32,4963630.20
3350390,brooklyn,-8227684.45,4959363.62
4059359,brooklyn,-8236629.98,4959331.02
3277183,manhattan,-8235918.05,4977122.66
4620158,,-8238300.22,4968828.33
3333172,queens,-8217707.56,4966928.50
4445338,staten island,-8251763.20,4952102.82
2958359,,-8239973.33,4956785.96
3914721,queens,-8222470.59,4975081.73
4411111,manhattan,-8233966.55,4976275.52
4143292,bronx,-8222410.47,4988112.56
230321,queens,-8217755.76,4965328.92
4023124,bronx,-8221440.88,4997697.41
3975370,,-8255080.96,4955611.99
4313198,brooklyn,-8232463.74,4963488.08
3619045,manhattan,-8236978.85,4971176.04
3732107,,-8230013.04,4963087.86
3977876,,-8222025.31,4986750.94
1020728,queens,-8215169.33,4952453.54
3528319,,-8225467.31,4962111.54
3453345,bronx,-8228643.25,4995399.26
4159554,bronx,-8221865.01,4986123.52
9030,manhattan,-8237508.20,4970321.60
3210138,brooklyn,-8228967.15,4966648.89
3194013,brooklyn,-8231158.79,4958214.60
4242794,brooklyn,-8233876.38,4951547.83
134001,brooklyn,-8237745.40,4959436.76
3191597,queens,-8210268.05,4971818.18
185614,brooklyn,-8227972.87,4966232.11
4356256,,-8226377.90,4961939.70
1017460,brooklyn,-8230556.09,4964183.96
4124579,bronx,-8217428.93,4986787.42
4142457,queens,-8211376.48,4964205.92
4334151,,-8235706.47,4980679.57
3181013,manhattan,-8233918.94,4981284.73
4429270,,-8235638.57,4951309.34
4261041,queens,-8208375.31,4973100.04
3554802,brooklyn,-8229357.37,4964848.66
3780802,,-8237725.81,4964596.20
150809,brooklyn,-8232155.49,4956668.49
3964661,queens,-8216189.94,4951760.38
4393037,manhattan,-8232288.96,4983488.08
4610976,queens,-8215099.01,4970510.71
4430966,,-8223758.55,4970120.78
169843,brooklyn,-8225397.66,4961021.73
3619999,brooklyn,-8235279.56,4958457.31
3702378,,-8236611.50,4967171.05
4558119,queens,-8221497.65,4980514.18
278413,queens,-8229903.49,4975972.15
2849212,,-8231438.63,4980230.49
3782455,,-8230862.41,4976414.83
3845842,,-8232326.81,4979532.58
3146907,queens,-8221265.01,4974072.76
3133884,queens,-8222643.71,4977196.75
3410284,manhattan,-8231946.10,4987086.51
4620399,bronx,-8225063.22,4986885.55
4097119,manhattan,-8237742.51,4970006.52
4024605,manhattan,-8236506.86,4976599.26
4169839,brooklyn,-8239567.03,4954272.77
3596763,,-8256943.56,4954038.91
35672,manhattan,-8233778.76,4976904.21
3966736,,-8218280.52,4995268.80
4185834,brooklyn,-8232196.57,4953180.92
3806166,queens,-8217363.25,4967262.52
4345163,manhattan,-8237170.32,4975397.35
3988750,brooklyn,-8228984.56,4964197.41
4085663,brooklyn,-8231019.92,4954493.15
2975960,,-8237508.79,4966769.41
4331798,,-8221132.53,4975834.66
57401,manhattan,-8232254.68,4981946.21
4287490,manhattan,-8236246.37,4974304.31
3716986,bronx,-8226806.48,4994154.69
3149524,brooklyn,-8232610.22,4955106.15
3961350,brooklyn,-8234323.88,4965350.38
3448505,manhattan,-8231794.04,4981085.07
3562647,queens,-8209667.73,4954673.80
4234477,,-8237838.24,4965775.94
3446962,,-8225076.02,4988907.11
3450698,brooklyn,-8232753.17,4964657.70
4258903,,-8229425.83,4977351.29
3691885,manhattan,-8237004.46,4969893.88
1032128,manhattan,-8238158.37,4971327.80
4496872,staten island,-8247100.02,4959603.45
4403261,bronx,-8221862.34,4987813.30
342639,manhattan,-8236189.76,4971273.28
196827,brooklyn,-8231332.87,4969377.12
4256108,manhattan,-8228710.04,4992907.34
348982,queens,-8221803.26,4975344.01
3771133,brooklyn,-8231720.12,4967884.03
4094455,bronx,-8226602.76,4988480.11
3345594,,-8213854.98,4963285.53
322371,manhattan,-8230142.92,4991230.05
3237256,manhattan,-8231531.21,4984855.27
3518889,,-8220949.29,4971240.23
1016691,queens,-8225819.84,4975197.28
3628224,manhattan,-8231910.48,4980285.86
3793593,,-8228780.73,4973029.38
273223,queens,-8229867.03,4975832.16
3412274,bronx,-8228428.40,4986432.74
3559374,bronx,-8227455.47,4996266.12
3406537,manhattan,-8238556.25,4974381.45
4066087,,-8232809.94,4967719.87
2957148,,-8242219.80,4957556.12
3312116,queens,-8220704.87,4979967.27
4274215,manhattan,-8237769.67,4969686.07
4493427,brooklyn,-8225144.48,4964838.09
3885860,brooklyn,-8234841.52,4965267.00
4006391,brooklyn,-8233538.53,4960047.83
4486036,brooklyn,-8223259.84,4962234.07
3866582,brooklyn,-8228136.08,4966888.14
3953869,brooklyn,-8228750.12,4963549.72
3927592,brooklyn,-8232749.83,4971334.23
4089873,queens,-8215986.22,4963331.92
3918955,manhattan,-8231183.56,4980620.47
3454453,,-8228379.87,4990959.12
49454,manhattan,-8232165.36,4979200.14
4076179,,-8220144.01,4966703.89
4068165,queens,-8215106.80,4967832.19
258918,queens,-8221605.52,4973668.46
3223837,queens,-8218270.76,4968547.70
3625269,,-8222992.67,4973012.49
1001927,brooklyn,-8236123.42,4951041.02
3285741,manhattan,-8232305.44,4981007.54
3719874,brooklyn,-8229389.09,4964523.84
1017497,brooklyn,-8230732.86,4965611.94
4557146,manhattan,-8232477.09,4984040.76
2823191,queens,-8208579.81,4970280.54
355138,manhattan,-8236377.66,4971559.94
4409558,manhattan,-8233971.00,4975918.13
277124,queens,-8228785.32,4978184.18
3541777,,-8223707.34,4996973.27
4098238,bronx,-8222903.62,4988481.28
3166150,queens,-8219028.92,4965501.47
4432530,staten island,-8248873.34,4952079.95
3130028,brooklyn,-8225466.52,4962111.65
3919528,brooklyn,-8231164.64,4970270.87
39252,manhattan,-8235996.62,4978269.16
3392950,brooklyn,-8234911.37,4964443.59
205683,queens,-8219272.37,4969234.03
3807525,,-8237544.36,4966949.21
46174,manhattan,-8231909.50,4980286.21
4274880,queens,-8208874.02,4962632.93
4467953,bronx,-8221422.88,4997374.52
116889,brooklyn,-8231867.23,4953164.72
