cid,boro,zipcode,x,y
3358365,queens,11358,-8214625.47,4978544.62
4485011,queens,11373,-8225239.10,4975026.77
3545624,queens,11413,-8210124.14,4964523.84
49844,manhattan,10028,-8231966.14,4978966.82
3740039,brooklyn,11217,-8235028.98,4966027.84
4340949,bronx,10473,-8222870.22,4985702.82
344481,brooklyn,11238,-8233082.33,4965852.65
3735921,manhattan,10019,-8235784.95,4978018.26
3522389,bronx,10472,-8223165.22,4988000.15
4167558,bronx,10452,-8229149.75,4988505.41
4429226,bronx,10458,-8224743.17,4993050.13
3488979,queens,11419,-8218156.96,4965828.64
4522558,brooklyn,11206,-8231972.37,4967404.49
4458493,brooklyn,11208,-8224407.54,4965413.65
3327909,bronx,10459,-8225607.58,4987085.30
4468086,brooklyn,11206,-8232264.82,4968147.97
152086,brooklyn,11230,-8233603.83,4956816.53
3985798,manhattan,10281,-8239174.07,4970202.29
3226375,queens,11368,-8221251.17,4973699.72
3769056,bronx,10467,-8224694.75,4994690.46
4121976,brooklyn,11237,-8228772.38,4969181.64
3947745,bronx,10469,-8219418.87,4991341.93
4106774,bronx,10452,-8228293.26,4988914.03
4099900,queens,11103,-8227849.54,4978116.30
257776,queens,11373,-8224030.13,4973099.97
3456831,bronx,10473,-8223454.65,4986500.70
3661078,queens,11435,-8216517.22,4970498.37
4475535,queens,11106,-8229123.04,4977644.79
2957969,brooklyn,11209,-8239973.33,4956785.96
110086,bronx,10471,-8224213.23,4995426.21
3973395,queens,11414,-8219236.31,4963364.36
3582635,staten island,10304,-8248101.90,4955055.78
30301,manhattan,10001,-8236543.85,4975779.95
5895,manhattan,10002,-8236955.22,4970856.51
4397821,brooklyn,11214,-8236003.14,4953042.37
4249848,bronx,10461,-8220709.51,4989651.70
18821,manhattan,10011,-8237989.41,4974659.62
3517203,manhattan,10013,-8237701.76,4970898.45
3656462,queens,11436,-8215519.80,4963461.81
3518342,manhattan,10018,-8235978.09,4976058.03
3486549,manhattan,10023,-8235326.87,4978737.32
4610994,queens,11434,-8212253.68,4963559.84
57015,manhattan,10029,-8231178.66,4980984.26
3139693,brooklyn,11219,-8238756.03,4957935.67
3833813,queens,11415,-8218915.04,4969093.82
344440,brooklyn,11207,-8224946.33,4962886.78
3231133,queens,11419,-8219063.70,4966845.35
3821669,queens,11419,-8218168.09,4966140.59
3440725,brooklyn,11234,-8229585.01,4957307.35
4343091,queens,11040,-8204942.22,4975949.28
3456567,queens,11368,-8220076.10,4977601.58
4045891,brooklyn,11234,-8230094.86,4956931.88
3142479,brooklyn,11220,-8238416.11,4960104.38
3981130,brooklyn,11236,-8224991.97,4958039.26
4534677,queens,11373,-8224100.30,4975275.10
260651,queens,11363,-8209175.95,4977793.50
4000014,queens,11419,-8217610.38,4966964.92
3349863,brooklyn,11216,-8232516.42,4965781.46
3482048,bronx,10461,-8219655.32,4989147.55
246198,queens,11356,-8220492.25,4980193.27
4184278,manhattan,10019,-8235050.24,4977740.18
3309529,queens,11354,-8218888.44,4977667.85
4298953,brooklyn,11210,-8231883.76,4959180.95
3377090,queens,11374,-8221447.59,4972249.68
3484217,manhattan,10006,-8239238.19,4969107.33
3338331,brooklyn,11237,-8229949.43,4969148.39
34348,manhattan,10016,-8234903.24,4974866.53
3646470,brooklyn,11219,-8237987.97,4957613.01
3891357,brooklyn,11234,-8229235.47,4955660.38
4545711,queens,11361,-8213274.48,4977940.22
3967835,queens,11355,-8218932.18,4974529.85
355548,queens,11369,-8225124.92,4977940.51
4102830,manhattan,10018,-8237066.80,4976663.19
3467939,staten island,10314,-8256098.42,4952157.05
4449641,brooklyn,11218,-8234759.81,4959870.45
358828,queens,11367,-8216871.74,4971122.18
130460,brooklyn,11219,-8237874.95,4959272.08
3831362,staten island,10314,-8257588.99,4954672.62
3763290,queens,11358,-8215980.10,4977422.71
3498890,queens,11420,-8218032.83,4964932.77
3147850,queens,11377,-8227279.36,4976018.91
1030496,brooklyn,11206,-8230640.12,4969569.72
3246575,brooklyn,11207,-8227638.38,4965980.74
4410861,bronx,10452,-8229942.35,4987836.25
4308773,brooklyn,11209,-8240968.55,4957386.99
171442,brooklyn,11231,-8237358.19,4964580.55
3828235,manhattan,10019,-8234689.01,4977543.38
4300042,bronx,10472,-8223407.90,4988160.67
3607454,manhattan,10028,-8232115.31,4979293.26
3567873,staten island,10312,-8256548.82,4947814.61
4612062,queens,11420,-8217856.39,4963048.24
4109294,brooklyn,11226,-8232065.77,4960073.94
4566485,queens,11429,-8209623.20,4968658.14
3922983,manhattan,10128,-8232180.43,4980808.07
17274,manhattan,10011,-8237606.96,4973854.29
72265,manhattan,10034,-8228871.86,4992845.78
1028009,staten island,10306,-8250432.97,4948443.29
3844861,manhattan,10025,-8233413.29,4983696.33
4554537,bronx,10460,-8223170.78,4988177.00
3304390,brooklyn,11220,-8239954.66,4959177.98
11501,manhattan,10003,-8237305.33,4972805.07
4387985,queens,11432,-8214462.26,4969832.78
198984,brooklyn,11222,-8231978.17,4972054.69
3895474,manhattan,10002,-8236641.56,4970247.37
3717857,staten island,10309,-8259587.84,4941669.67
3941771,manhattan,10128,-8231800.27,4979862.46
4087767,queens,11434,-8213399.16,4964484.21
4386174,brooklyn,11216,-8232614.46,4966426.71
3657285,brooklyn,11233,-8228185.73,4964008.07
269615,queens,11434,-8211857.82,4964749.39
177302,brooklyn,11217,-8234824.84,4965294.88
317611,bronx,10461,-8220270.23,4991147.52
3395461,brooklyn,11218,-8236663.98,4959779.80
3297894,queens,11434,-8214497.99,4965325.74
4611025,queens,11378,-8226019.45,4972446.03
162561,brooklyn,11233,-8226998.93,4964552.17
4419559,manhattan,10032,-8230886.34,4988270.73
3262436,brooklyn,11212,-8228733.28,4962085.40
221202,queens,11429,-8207879.87,4969493.59
4231745,bronx,10454,-8229002.81,4983576.76
4383843,brooklyn,11218,-8234473.05,4958971.76
3882100,brooklyn,11207,-8225910.36,4964659.46
4396317,queens,11373,-8222890.26,4974374.99
4519891,manhattan,10282,-8239194.11,4970785.79
3654039,bronx,10455,-8227626.90,4985586.02
49406,manhattan,10065,-8233621.94,4977187.33
4461080,brooklyn,11208,-8224534.45,4964693.07
4596043,manhattan,10001,-8237234.89,4975552.52
4309869,queens,11101,-8230690.42,4975368.85
4117287,manhattan,10029,-8231822.09,4981099.18
3395590,brooklyn,11206,-8232554.16,4968088.50
4479432,queens,11372,-8223499.73,4975676.99
276535,queens,11103,-8227810.77,4978176.37
4380341,brooklyn,11223,-8233751.70,4952264.65
3347650,manhattan,10023,-8235663.69,4979045.35
23328,manhattan,10010,-8236124.25,4974094.11
3354389,queens,11428,-8209740.71,4970415.77
32656,manhattan,10016,-8234852.20,4974960.08
4480389,brooklyn,11209,-8240309.98,4954224.82
3389404,bronx,10456,-8227582.91,4988347.46
4099769,manhattan,10021,-8232901.22,4978493.32
82983,bronx,10472,-8222015.13,4987085.43
4090541,manhattan,10034,-8228710.04,4992907.34
4511817,brooklyn,11207,-8225584.19,4964966.82
3788779,brooklyn,11216,-8231175.77,4965763.61
3513658,queens,11422,-8207241.63,4961249.17
4229125,brooklyn,11222,-8231267.05,4972936.39
4072870,queens,11361,-8212703.41,4977251.35
4003819,brooklyn,11201,-8235920.21,4967609.46
3696342,manhattan,10029,-8231897.12,4980900.55
77576,bronx,10459,-8225725.42,4986436.56
4146749,bronx,10460,-8223535.47,4988802.64
63821,manhattan,10026,-8231985.75,4983283.22
3440665,brooklyn,11204,-8235626.88,4958017.55
149272,brooklyn,11226,-8232688.03,4959800.74
194455,brooklyn,11211,-8232956.19,4969429.23
78564,bronx,10455,-8226847.53,4984313.05
3283704,manhattan,10038,-8238504.40,4969692.73
4514998,brooklyn,11208,-8224105.31,4965217.10
4130407,brooklyn,11233,-8227931.92,4964733.88
3901777,queens,11372,-8224328.51,4975401.76
3763281,brooklyn,11207,-8225173.42,4963384.32
4292551,queens,11415,-8219765.52,4969645.10
3907169,bronx,10471,-8225148.26,4997820.83
3259256,bronx,10453,-8228583.70,4989793.53
320211,brooklyn,11226,-8233873.73,4960896.62
3663841,queens,11370,-8225226.41,4977971.52
3618853,queens,11101,-8231277.07,4975004.44
3623617,queens,11368,-8219960.33,4974356.47
3294618,brooklyn,11226,-8233186.93,4960883.84
168279,brooklyn,11207,-8225885.64,4964907.83
3647772,brooklyn,11249,-8233136.11,4970566.52
4299763,queens,11367,-8218685.72,4970690.47
44803,manhattan,10019,-8236626.81,4977877.93
4319640,brooklyn,11236,-8227930.81,4960314.26
3305124,queens,11354,-8216951.67,4977767.59
3055608,queens,11354,-8219176.52,4978628.21
4027269,bronx,10467,-8223765.23,4994903.36
3554572,staten island,10306,-8253490.32,4948231.20
3297371,manhattan,10017,-8234755.62,4975497.26
4430539,manhattan,10023,-8236161.77,4978720.71
3596025,queens,11428,-8209740.09,4970415.98
4496801,brooklyn,11222,-8232896.77,4972371.70
4473525,queens,11373,-8223286.56,4975287.44
3907682,queens,11419,-8217554.72,4965696.37
4111409,brooklyn,11220,-8239328.81,4958947.55
4607252,manhattan,10032,-8231577.63,4988052.24
3378037,manhattan,10007,-8239014.42,4970239.27
155674,brooklyn,11225,-8231872.31,4962919.53
999697,manhattan,10001,-8236752.41,4975404.48
4418788,brooklyn,11208,-8222632.00,4965102.31
212897,queens,11433,-8214274.98,4967455.19
276145,queens,11106,-8229158.33,4977186.06
3277356,bronx,10462,-8223028.77,4990598.65
3380171,brooklyn,11203,-8229892.37,4961107.30
4395692,brooklyn,11230,-8234786.97,4957512.69
3350826,bronx,10454,-8227251.27,4983565.10
3949960,queens,11413,-8211071.91,4963029.16
204305,queens,11419,-8218552.35,4966611.85
3833803,brooklyn,11203,-8231598.78,4961000.47
3778990,queens,11435,-8216388.53,4967424.02
45699,manhattan,10022,-8234409.39,4977625.30
3980847,brooklyn,11209,-8239625.48,4957828.04
3291301,queens,11419,-8218552.35,4966611.85
4408161,brooklyn,11212,-8227415.84,4963606.81
3033164,queens,11367,-8218242.99,4970500.69
4418728,queens,11368,-8222865.77,4975378.25
3948113,staten island,10308,-8253886.06,4945081.65
3910992,brooklyn,11214,-8236762.45,4954728.64
3505399,brooklyn,11225,-8231633.29,4962935.24
1766,manhattan,10007,-8238344.63,4970271.99
3563932,queens,11365,-8213489.89,4973057.44
4518052,bronx,10461,-8219029.70,4988514.83
3692542,brooklyn,11219,-8237414.11,4956867.79
220587,queens,11434,-8213811.93,4963246.10
4497495,brooklyn,11235,-8233612.55,4951210.69
4306328,bronx,10466,-8220382.79,4996048.04
266287,queens,11375,-8221662.36,4969856.99
4508286,bronx,10454,-8227658.07,4983693.68
287437,staten island,10314,-8255392.06,4956023.44
4256987,manhattan,10031,-8232283.40,4986491.29
4248478,queens,11417,-8219845.67,4965423.78
1001394,bronx,10475,-8217672.26,4996081.80
4443840,queens,11356,-8219463.85,4980187.80
87241,bronx,10451,-8229034.92,4986835.35
4253683,manhattan,10019,-8234914.32,4977407.58
3767096,brooklyn,11224,-8235586.25,4950146.59
3163763,brooklyn,11235,-8231356.80,4950281.15
4625001,brooklyn,11235,-8230522.32,4951484.36
4068658,bronx,10465,-8219820.07,4986699.30
3813167,queens,11354,-8217309.26,4978343.39
3788055,bronx,10452,-8228230.26,4989265.42
3786965,manhattan,10024,-8235546.17,4980585.92
4108563,manhattan,10040,-8229406.90,4992239.05
1000884,brooklyn,11223,-8233898.48,4953881.22
2811792,manhattan,10029,-8231864.14,4982230.52
154519,brooklyn,11225,-8231507.57,4962933.01
3696676,queens,11104,-8229109.68,4974610.66
140535,brooklyn,11203,-8230702.68,4961760.36
3714771,bronx,10451,-8229638.45,4986113.96
3670991,brooklyn,11231,-8236529.12,4965743.05
3317985,manhattan,10022,-8233515.23,4976757.28
4100744,brooklyn,11236,-8224991.97,4958039.26
3547131,brooklyn,11211,-8233173.29,4969346.11
219684,queens,11413,-8210661.93,4963267.26
4231654,manhattan,10463,-8227590.17,4993862.75
4436134,brooklyn,11212,-8228039.90,4962120.78
3270469,queens,11422,-8209262.54,4961939.69
3861880,bronx,10469,-8220192.99,4994526.74
27538,manhattan,10016,-8235439.15,4974909.42
37024,manhattan,10022,-8234206.22,4977142.37
4581074,manhattan,10012,-8238017.47,4971718.04
114835,brooklyn,11224,-8235375.84,4949933.74
3901980,queens,11434,-8212496.36,4963354.96
3794117,manhattan,10013,-8238350.31,4971508.58
4252353,queens,11355,-8217119.46,4976363.69
4371010,queens,11363,-8210125.25,4979369.41
4040933,bronx,10472,-8220948.85,4986945.13
1034211,queens,11374,-8221361.40,4972152.76
3482984,bronx,10457,-8226876.61,4990049.03
313783,queens,11001,-8205771.67,4973502.80
3301526,bronx,10460,-8224081.01,4989155.38
3762160,brooklyn,11229,-8231912.04,4953475.16
3997421,brooklyn,11228,-8239793.57,4956336.88
3719156,queens,11365,-8212683.38,4974129.48
4399965,queens,11373,-8223655.02,4973284.41
3480300,bronx,10451,-8229764.24,4985689.14
3448026,manhattan,10016,-8234958.41,4974769.05
3778356,queens,11372,-8225701.08,4976166.48
3295098,bronx,10460,-8225158.54,4989082.11
3533928,staten island,10306,-8248601.72,4950769.50
4402988,brooklyn,11221,-8229333.43,4967910.01
3697681,manhattan,10016,-8234800.33,4975285.83
3620634,manhattan,10036,-8236197.39,4977158.17
4309783,queens,11426,-8206942.63,4975991.90
3762302,queens,11369,-8223009.37,4978319.29
245094,queens,11104,-8229506.88,4974092.83
20522,manhattan,10018,-8237392.80,4976489.91
24319,manhattan,10010,-8235412.46,4973944.77
4542367,bronx,10455,-8226798.69,4985440.69
3178007,queens,11354,-8219125.46,4978342.83
14584,manhattan,10009,-8235909.23,4972417.04
3781792,queens,11103,-8228410.59,4978398.95
4540379,queens,11368,-8219699.84,4976786.49
1030029,brooklyn,11209,-8240736.07,4958133.74
3338878,brooklyn,11203,-8230965.97,4961040.44
4463779,brooklyn,11208,-8223116.68,4965903.65
200278,brooklyn,11222,-8232483.63,4972425.10
3861143,manhattan,10035,-8229957.93,4983476.32
31103,manhattan,10036,-8236400.29,4976790.34
3497486,brooklyn,11249,-8233984.36,4970236.65
3363826,brooklyn,11213,-8231170.06,4964223.47
3404572,manhattan,10018,-8236610.08,4976410.79
3805074,brooklyn,11214,-8236117.80,4953846.54
3134319,brooklyn,11217,-8235180.44,4965287.72
3291996,manhattan,10012,-8237417.42,4971520.12
257989,queens,11368,-8221530.80,4974645.85
68546,manhattan,10032,-8231304.25,4988798.89
70630,manhattan,10040,-8229542.56,4990700.37
895222,queens,11354,-8218616.63,4977953.34
3495461,manhattan,10032,-8231139.03,4987812.41
3197686,queens,11375,-8220575.52,4970711.74
230646,queens,11420,-8216527.46,4963359.53
3824557,manhattan,10075,-8231962.80,4978310.32
3883507,brooklyn,11223,-8234043.80,4954897.85
1002583,queens,11426,-8206086.91,4972657.45
4110554,bronx,10472,-8222133.29,4987066.50
3836156,queens,11368,-8221807.12,4974267.88
139394,brooklyn,11226,-8232229.71,4960957.86
355370,brooklyn,11216,-8232040.43,4965028.96
3173745,queens,11378,-8226526.82,4971758.89
48995,manhattan,10021,-8232900.41,4978493.26
3240438,manhattan,10003,-8236643.11,4971665.20
4457476,brooklyn,11207,-8226160.83,4964629.66
4025175,brooklyn,11215,-8233402.16,4961567.58
4328947,queens,11432,-8215689.56,4969324.67
4054561,brooklyn,11237,-8228948.27,4969571.23
54107,manhattan,10023,-8236205.76,4979822.95
277054,queens,11102,-8229400.76,4977997.13
4210530,brooklyn,11215,-8235989.22,4963584.94
100820,bronx,10458,-8225033.38,4991604.08
1021781,brooklyn,11207,-8226201.57,4964845.77
3856625,brooklyn,11249,-8233402.16,4967926.17
3588826,queens,11385,-8226894.42,4967780.81
8285,manhattan,10013,-8237565.62,4970769.06
3735773,manhattan,10065,-8232954.65,4977178.30
4016945,brooklyn,11214,-8237584.43,4953209.50
3258167,brooklyn,11217,-8234612.81,4965674.35
3301827,queens,11385,-8225896.75,4969033.89
3559589,manhattan,10022,-8234229.82,4977527.06
3684542,queens,11428,-8210279.54,4970692.24
4240226,manhattan,10029,-8230492.27,4981634.96
3383252,staten island,10312,-8256432.25,4947084.19
333547,queens,11416,-8221765.23,4966095.81
3843620,queens,11106,-8229278.44,4976792.81
4421770,brooklyn,11210,-8231131.24,4957871.60
4511320,queens,11369,-8223425.71,4977371.86
3604162,manhattan,10065,-8233414.40,4978153.78
3499593,brooklyn,11206,-8232104.17,4967494.50
3333575,bronx,10455,-8226714.17,4984900.29
4536255,brooklyn,11201,-8235920.76,4967609.46
3738441,queens,11385,-8221534.39,4968572.97
3837670,queens,11412,-8210482.59,4967222.88
4557147,queens,11411,-8209011.50,4968314.10
3537053,queens,11101,-8229115.25,4976258.91
2837830,manhattan,10002,-8234725.31,4971604.51
3853319,queens,11428,-8208290.71,4972383.75
4427283,brooklyn,11231,-8237624.51,4964404.36
3597341,queens,11418,-8217745.07,4968147.29
3734813,bronx,10459,-8225577.96,4985972.60
3801385,manhattan,10003,-8235590.70,4972986.19
4289132,queens,11432,-8215614.42,4970618.80
3514820,brooklyn,11213,-8230647.45,4962871.25
1021497,manhattan,10013,-8238585.26,4971218.52
4277810,queens,11434,-8212509.72,4962345.01
3437880,bronx,10465,-8219948.09,4987023.10
3213927,staten island,10304,-8246714.88,4955829.33
3280616,queens,11419,-8218271.97,4966716.86
4585798,manhattan,10463,-8227595.07,4993868.35
4192197,brooklyn,11215,-8235408.14,4964206.95
4279633,queens,11691,-8210487.60,4954083.19
98229,bronx,10466,-8220435.06,4996500.55
3571231,queens,11419,-8217848.60,4966284.46
4117564,queens,11420,-8216041.88,4965709.88
3663350,queens,11435,-8217244.69,4970169.54
3956605,bronx,10452,-8229687.43,4987948.51
3331984,queens,11378,-8228908.18,4970658.31
4085464,manhattan,10010,-8236590.91,4974227.18
3834808,brooklyn,11219,-8237106.43,4958391.89
4067667,bronx,10456,-8227679.22,4987407.52
3244799,manhattan,10034,-8229473.55,4992379.67
146352,brooklyn,11236,-8228173.79,4958946.95
3186603,brooklyn,11203,-8230529.69,4959637.51
119025,brooklyn,11223,-8234121.59,4952163.45
4029905,queens,11103,-8227848.43,4978114.68
4059101,brooklyn,11237,-8229789.84,4970296.72
4362705,queens,11377,-8227650.28,4975973.53
3474899,bronx,10471,-8226262.13,4996229.60
3950018,queens,11355,-8218494.25,4976657.61
3814034,queens,11102,-8228432.86,4978588.86
4560260,brooklyn,11203,-8229399.11,4959222.32
3456598,queens,11385,-8222004.16,4969924.13
3131765,brooklyn,11203,-8231271.03,4962622.70
3298960,brooklyn,11210,-8231216.16,4957584.97
4219470,brooklyn,11215,-8236902.60,4963046.77
4273923,queens,11414,-8219502.81,4962258.72
339040,queens,11423,-8210863.51,4971285.26
4062538,brooklyn,11225,-8232506.04,4962867.29
3627083,manhattan,10036,-8236248.60,4977065.14
273214,queens,11103,-8227912.81,4977412.41
3898723,manhattan,10036,-8236823.01,4976774.74
3370533,manhattan,10025,-8234501.18,4982099.75
87955,bronx,10452,-8229211.01,4987399.21
254179,queens,11354,-8218441.37,4977361.60
3550208,manhattan,10037,-8230828.45,4984466.54
3459706,manhattan,00083,-8232201.02,4982045.94
220370,queens,11426,-8206355.47,4975087.55
3498701,brooklyn,11223,-8233924.25,4954052.98
3546332,brooklyn,11211,-8233364.31,4969609.27
147006,brooklyn,11236,-8226852.40,4958042.49
3252178,queens,11434,-8213790.90,4964137.93
2809201,staten island,10309,-8261475.67,4942397.49
4227494,staten island,10305,-8244762.31,4955915.11
4231963,brooklyn,11226,-8232725.34,4960930.48
4197927,brooklyn,11213,-8229647.91,4963851.03
4334421,bronx,10460,-8224157.08,4989299.56
4350207,bronx,10461,-8218495.37,4990038.72
242365,queens,11377,-8226841.55,4974435.43
3611321,brooklyn,11214,-8237428.59,4953380.60
139634,brooklyn,11212,-8228951.77,4962723.21
3168157,bronx,10461,-8220345.61,4989706.01
1037189,brooklyn,11226,-8232712.67,4959471.35
3397639,queens,11423,-8213102.67,4971983.01
3982009,queens,11373,-8224218.30,4973649.20
3601061,queens,11435,-8217110.55,4968554.62
243623,queens,11101,-8230719.44,4975521.43
2819242,staten island,10304,-8247673.03,4954898.20
4136137,queens,11368,-8219777.32,4974460.20
3654405,bronx,10468,-8226885.52,4991842.22
4366264,queens,11434,-8213160.94,4964502.70
4466054,brooklyn,11208,-8223893.80,4964100.54
3717862,queens,11366,-8215899.40,4971556.46
3261375,staten island,10310,-8249577.72,4957771.80
3351376,manhattan,10024,-8235229.69,4980408.25
3698792,manhattan,10021,-8232438.69,4978112.92
3625825,staten island,10314,-8255743.98,4952516.80
3601540,brooklyn,11221,-8231277.07,4967069.60
208929,queens,11432,-8214546.43,4969126.00
325806,brooklyn,11201,-8237454.44,4967270.93
3389502,brooklyn,11218,-8234396.24,4960321.72
3102562,queens,11377,-8226771.69,4977456.21
4159522,queens,11355,-8219097.05,4976348.11
4168406,staten island,10312,-8255392.66,4945025.25
3773379,queens,11378,-8227233.95,4970957.78
3305811,queens,11369,-8223278.01,4978673.92
3718753,brooklyn,11215,-8235592.93,4963330.75
3481876,manhattan,10027,-8232523.85,4984558.03
3204872,queens,11355,-8216717.65,4974447.94
3960119,brooklyn,11229,-8231320.93,4954603.12
4253455,queens,11427,-8208066.29,4973539.89
1001158,queens,11370,-8225608.00,4978565.64
4427804,brooklyn,11208,-8223381.74,4964390.12
2950643,brooklyn,11219,-8236815.26,4959097.28
3510966,queens,11361,-8213733.68,4977839.24
4596419,bronx,10458,-8225983.83,4991234.20
3766852,brooklyn,11214,-8237346.77,4953307.44
4476148,bronx,10461,-8220235.96,4989046.90
4322194,bronx,10465,-8217408.89,4991586.99
271184,queens,11435,-8215363.14,4965932.54
3430058,staten island,10314,-8256399.65,4951379.26
4233998,brooklyn,11217,-8235345.80,4966236.30
267909,queens,11375,-8220060.16,4972346.85
3262728,queens,11354,-8217992.65,4977689.47
3719145,bronx,10465,-8218146.94,4987181.99
4493619,bronx,10461,-8221532.83,4990801.94
4608220,manhattan,10018,-8236250.27,4975853.76
3510584,brooklyn,11234,-8229503.75,4956298.31
4436517,manhattan,10032,-8230909.05,4988402.42
3128611,manhattan,10028,-8231966.14,4978966.82
3949260,brooklyn,11216,-8232409.75,4965068.11
3436730,brooklyn,11211,-8233276.37,4969140.96
4440316,queens,11414,-8219297.98,4962297.31
3483421,queens,11105,-8227071.42,4979654.59
3564224,bronx,10466,-8220956.64,4995864.41
3296265,bronx,10451,-8229181.98,4985157.09
3565461,queens,11417,-8220001.52,4964856.00
25507,manhattan,10003,-8236612.79,4973557.43
4381607,queens,11691,-8209461.79,4954855.03
78170,bronx,10455,-8226975.83,4984669.66
3514903,brooklyn,11222,-8231017.70,4971507.40
1000877,brooklyn,11229,-8232332.22,4952422.16
3494662,queens,11413,-8210974.62,4963185.75
4418828,queens,11364,-8210625.08,4973880.44
3670390,manhattan,10035,-8231088.94,4982782.94
273124,queens,11105,-8227266.18,4978970.60
71918,manhattan,10033,-8230316.75,4990712.71
3267227,queens,11691,-8209492.07,4953143.75
4237743,queens,11434,-8212307.12,4966030.19
4082493,brooklyn,11215,-8236482.37,4964025.10
3271337,queens,11435,-8216703.71,4968944.28
3148835,brooklyn,11214,-8237313.18,4954365.28
4447321,queens,11412,-8211049.21,4967016.45
3231494,manhattan,10040,-8229500.73,4991158.83
233719,queens,11367,-8217014.20,4973646.89
1002582,queens,11413,-8210227.76,4963125.46
3643821,queens,11354,-8218338.41,4978804.94
118545,brooklyn,11229,-8231173.49,4953582.40
4406296,queens,11354,-8218735.82,4977509.13
298137,staten island,10308,-8253486.29,4946645.06
4240665,brooklyn,11235,-8233129.43,4949927.19
121838,brooklyn,11214,-8237493.99,4954642.18
1000275,bronx,10466,-8219238.52,4996031.96
3212438,bronx,10460,-8224852.64,4988251.78
301759,staten island,10312,-8256871.79,4944069.98
166868,brooklyn,11207,-8225202.94,4964613.28
208981,queens,11432,-8215401.04,4968682.62
3739029,brooklyn,11237,-8228652.16,4968824.51
4329483,queens,11357,-8216162.11,4981962.27
