cid,zipcode,x,y
284824,10304,-8247673.03,4954898.20
96909,10469,-8221838.05,4993878.14
323644,10023,-8236009.35,4978994.58
4176927,,-8227068.08,4989142.99
3219056,10468,-8226422.67,4991519.33
4096764,,-8218074.58,4978206.11
3984373,11235,-8231127.90,4951144.29
4126087,11426,-8207431.88,4972092.60
4087672,10459,-8225487.34,4986571.31
252593,11355,-8218294.88,4975030.34
3222932,10465,-8217661.52,4986555.35
3977655,11420,-8216782.16,4964816.22
62828,10027,-8233133.14,4985387.83
4589233,11214,-8238028.60,4953967.35
4090379,11102,-8229490.39,4978950.17
3509557,11358,-8215897.17,4976328.42
3734164,10019,-8235656.38,4978134.67
2826485,11434,-8217910.99,4962986.60
3227227,11101,-8232258.69,4975379.63
3562895,10012,-8237116.89,4972188.09
4060558,11414,-8221506.56,4962635.86
2992705,,-8231008.12,4971496.09
4576220,,-8214697.15,4963417.04
4089933,10001,-8237088.62,4975827.90
258565,11368,-8222891.62,4974552.03
3948629,10128,-8232012.34,4980101.94
3606930,10464,-8213980.25,4990196.19
3437866,10465,-8217201.39,4986196.49
3525383,,-8213083.01,4969339.21
4293294,10018,-8236486.82,4976105.34
3496963,,-8252364.99,4954938.91
4325933,10473,-8224032.40,4986175.01
3963067,10453,-8228425.06,4991113.07
3253033,11211,-8233534.53,4969058.27
298174,10314,-8256508.94,4950499.80
313705,11233,-8228939.88,4964806.30
4100648,,-8217412.78,4975510.65
238119,11435,-8216852.07,4969418.18
3800068,10314,-8252719.99,4952610.04
230281,11417,-8219539.59,4964346.54
3606921,,-8228544.18,4963577.75
3668767,11201,-8235786.62,4967259.58
3225526,11229,-8231127.99,4953270.89
104615,10469,-8218737.25,4991659.72
108623,10471,-8226318.03,4996050.47
4611120,11433,-8215098.45,4967605.05
3817892,11432,-8215284.91,4968742.57
4085667,11223,-8235737.64,4952833.46
3129313,10460,-8222556.12,4988930.20
3318170,11204,-8234640.22,4954840.14
4326501,10452,-8228087.77,4989532.50
3997199,11223,-8234753.58,4952228.01
4282862,10301,-8248524.91,4956633.42
3929947,10463,-8227813.92,4993901.47
3224277,10453,-8227081.93,4990319.93
3340660,11229,-8232280.59,4953759.73
215163,11374,-8222019.24,4970156.66
3956331,10306,-8249033.09,4950286.70
4450008,10305,-8248266.65,4951118.64
3364559,10016,-8234752.91,4975139.12
4466192,11230,-8234046.70,4954900.34
3639453,11229,-8232916.81,4954959.14
4268342,11422,-8208284.59,4962412.07
3183345,11420,-8216243.67,4965602.91
77580,10459,-8225596.50,4986280.54
3321662,11226,-8233365.55,4958853.18
96198,10466,-8221293.28,4996854.90
4345123,10466,-8220306.53,4994719.61
3805806,,-8235326.87,4978737.32
4356884,10019,-8234942.38,4977552.34
3339327,10027,-8232243.94,4984652.22
3961502,,-8223134.61,4994650.12
4500779,11238,-8234441.33,4965993.79
3718312,11233,-8228722.96,4965585.98
3461837,10002,-8236420.03,4970951.61
13806,10002,-8235793.85,4970918.85
3590006,11355,-8219007.44,4975978.08
4463990,10001,-8236853.06,4975220.73
4231761,11422,-8209251.95,4962051.81
3911758,,-8219576.84,4974563.64
3783779,10037,-8230544.59,4985891.84
3613044,10469,-8220540.86,4994220.94
3494491,10009,-8235496.08,4973157.63
4210192,10305,-8246702.61,4953315.80
4520594,10001,-8237600.02,4976110.34
4162530,10012,-8237003.34,4972364.80
3322057,11355,-8216469.33,4976887.15
3809462,,-8229547.61,4989344.58
4315775,11229,-8230308.59,4953562.40
2985426,,-8233639.95,4967621.28
3685115,11234,-8228029.88,4955803.21
4321874,,-8217107.21,4968252.13
3266420,11234,-8229287.07,4956316.23
4208724,,-8225014.24,4962368.49
3997474,11226,-8232782.67,4961666.48
3543696,11216,-8230684.85,4965278.16
46800,10065,-8233002.87,4977684.45
4226713,11218,-8234760.26,4958796.60
4408450,10018,-8236944.35,4976121.21
3174612,10029,-8230970.57,4981360.64
4354652,11218,-8236308.71,4959738.42
4403012,11385,-8227713.73,4969353.45
67231,10030,-8231176.40,4986245.09
3211133,10461,-8220525.14,4989430.87
3952065,11226,-8232715.32,4960540.49
283777,11372,-8224763.63,4975498.83
3908746,,-8232870.05,4962721.71
3606206,11355,-8219291.30,4977141.85
4579992,11220,-8238690.39,4959251.51
112573,10467,-8224171.69,4994596.08
63716,10035,-8231214.99,4983829.70
3175017,11354,-8216839.20,4978498.37
3974418,10462,-8221317.32,4989133.72
3146650,10035,-8230609.46,4982637.34
3590122,10469,-8221306.18,4995102.42
1033671,11377,-8228178.46,4974468.28
47277,10022,-8233669.79,4977094.16
4547219,11207,-8226598.31,4963575.11
4217331,,-8237283.87,4963642.62
4094980,11361,-8212960.00,4976362.66
198572,11211,-8233068.45,4970648.26
4527847,,-8233023.67,4957974.72
4296514,11367,-8218176.32,4974220.27
319445,11385,-8227300.00,4969032.26
4438116,10461,-8221435.98,4990859.92
4172340,,-8227013.53,4977680.07
4538851,,-8226194.22,4975688.30
207006,11421,-8221042.17,4966906.56
4593647,10032,-8231033.95,4988982.16
3563687,,-8232015.68,4958579.94
4364149,,-8225386.04,4993115.20
347467,11412,-8211300.99,4966755.27
3663328,11368,-8222270.88,4976681.56
3532779,10455,-8228261.43,4985299.19
4083299,,-8234761.37,4972886.44
3930719,11357,-8217760.66,4980430.08
4483400,,-8216369.16,4979968.46
263617,11361,-8213626.55,4978141.58
4412457,10310,-8251546.12,4958172.74
3979306,,-8214455.58,4963245.77
4333745,,-8219066.44,4972337.92
2879260,,-8227773.24,4983620.79
4322309,,-8251392.50,4954434.94
153992,11203,-8231557.33,4962278.90
4399647,,-8258230.86,4957768.64
3878950,10035,-8230633.09,4983605.88
3166957,10456,-8226731.88,4988136.54
1035391,10305,-8245251.28,4953141.32
4207972,11378,-8226337.27,4971757.70
4520449,10036,-8235874.57,4976247.60
4473909,10075,-8233456.71,4979551.25
4267270,,-8221173.71,4973726.47
3346741,11206,-8231355.70,4967609.02
3684315,11434,-8213222.16,4963424.23
3253824,11433,-8215140.27,4967897.31
4262731,,-8227189.98,4994226.10
3238892,11004,-8205405.65,4974503.69
4460489,11215,-8234632.24,4964299.42
4525628,,-8220341.04,4969367.26
50213,10022,-8233621.94,4977187.33
3600070,,-8229048.45,4979058.36
4220900,10002,-8236772.91,4969921.34
4171812,11105,-8228635.46,4979739.86
4470509,11201,-8236452.12,4966869.49
6251,10002,-8237286.94,4970400.20
4163738,11101,-8231611.03,4976682.15
322464,11209,-8240565.86,4957614.03
4258959,,-8235358.04,4972225.84
3791664,10460,-8224994.20,4987431.36
3183025,10456,-8227140.43,4986056.63
4273720,,-8228401.69,4991443.05
3896323,10462,-8222170.58,4987974.99
4489334,11208,-8224360.12,4965120.66
4446999,11203,-8231782.46,4961902.73
89541,10465,-8216165.38,4985941.26
4447711,11417,-8222190.06,4965142.09
180342,11205,-8232604.52,4967750.79
4567346,11692,-8215170.25,4952453.47
311944,11375,-8220364.31,4971153.20
3528842,11413,-8210009.48,4963258.54
3758899,11373,-8224218.30,4973649.20
2814604,11229,-8231076.52,4952921.57
355771,10466,-8221805.16,4996535.63
3650504,11219,-8238192.24,4957354.28
125519,11214,-8236133.41,4953826.29
4094473,,-8228990.57,4967669.22
4429327,10458,-8225301.44,4993047.19
76516,10459,-8225611.90,4986512.74
55967,10029,-8232074.30,4981000.16
3636004,11232,-8239643.29,4961079.41
3272871,10028,-8231915.04,4979060.40
4535833,11206,-8231936.08,4969679.47
3296403,11216,-8232094.63,4964290.11
282653,11372,-8225736.51,4975669.88
3621849,11210,-8231742.39,4956012.33
4493338,10469,-8221099.13,4992503.12
2943907,,-8231755.39,4951266.20
329953,11232,-8238617.20,4961334.67
3642427,10473,-8223504.74,4986166.18
4391482,,-8227000.18,4993236.50
4185262,11432,-8213416.97,4969377.83
20479,10001,-8237599.33,4976110.75
4124807,,-8230563.51,4989928.35
4572077,10460,-8223415.69,4988479.52
3266125,10013,-8237784.07,4970976.67
3617185,11225,-8232657.43,4961957.61
1025511,11209,-8242029.02,4957132.80
3883852,,-8221844.97,4972387.86
289262,10301,-8247518.71,4957317.57
3813052,11691,-8210169.78,4952808.54
3236108,11238,-8234105.26,4965170.55
178367,11215,-8235161.65,4963431.31
162907,11207,-8226896.08,4964651.96
4283843,10452,-8228152.33,4989408.89
3194029,11210,-8231678.04,4957095.32
996192,10019,-8235946.37,4978361.94
3520916,11217,-8235421.49,4966378.70
3217940,11205,-8233400.89,4967061.66
264331,11374,-8222758.80,4972331.20
3632386,11370,-8224592.33,4976552.68
3618279,10301,-8249061.47,4955746.17
183825,11221,-8230147.27,4966141.35
4141430,10017,-8234520.92,4975986.46
4184720,,-8230248.48,4983291.17
4216062,11421,-8221765.93,4966095.67
4033007,11434,-8212368.34,4964119.62
141126,11209,-8242147.86,4956567.95
4422260,11208,-8224531.11,4963658.76
3722082,,-8221253.42,4967833.08
3127499,11422,-8207579.82,4962211.73
225214,11434,-8213144.86,4963311.30
341629,10451,-8229313.96,4985535.49
166443,11239,-8222806.89,4961277.48
3689955,,-8225634.95,4977988.43
3359325,10027,-8231573.55,4984029.33
335747,11201,-8235742.17,4968158.55
3273655,11213,-8230282.82,4963633.87
49333,10065,-8233469.52,4977463.59
231004,11414,-8219789.28,4961442.75
4617548,11373,-8223617.18,4974491.06
4438886,,-8233156.14,4961563.18
3915254,10016,-8235620.09,4975859.20
3776540,11420,-8217724.48,4963309.03
3336553,10002,-8237005.04,4970486.05
3548467,,-8210839.26,4977885.83
3927431,11217,-8235232.25,4965900.86
3460572,11236,-8228055.48,4958669.57
526435,10474,-8224824.58,4985720.36
4289147,11368,-8221608.97,4974000.62
4582348,,-8232667.45,4982803.97
3845864,10466,-8221193.75,4997549.84
3283247,10128,-8232337.05,4980524.53
21392,10001,-8237751.60,4975838.91
3203489,,-8222782.42,4995775.61
3403520,11223,-8234785.45,4951751.65
338866,11229,-8232431.56,4954811.03
4260122,11210,-8230575.76,4957571.65
4301760,11233,-8228241.39,4964755.75
996635,10018,-8236710.95,4976228.08
3286965,11232,-8237227.83,4962634.45
3249313,11369,-8222953.10,4977753.92
25439,10010,-8236228.73,4973905.80
4403846,,-8217318.72,4968851.82
4572944,,-8221624.56,4973557.82
3763526,11429,-8207775.30,4970855.85
4294223,11204,-8236501.29,4957476.02
3256282,11432,-8213956.51,4970659.56
4558638,,-8229336.77,4977295.44
4109271,10473,-8220726.21,4985683.10
4148767,10019,-8235083.08,4977381.86
4535340,11436,-8214399.92,4964035.96
4256437,11355,-8217985.52,4974925.09
4138748,11419,-8218720.79,4965616.81
257604,11373,-8223384.60,4975064.55
4132767,11218,-8234358.95,4958489.58
3984482,,-8219419.32,4986473.63
4014331,11217,-8235200.53,4965247.92
4025836,,-8229471.47,4964856.00
3554165,10457,-8226158.60,4989558.99
4004019,10467,-8223218.65,4992502.53
4116980,11217,-8235232.25,4965900.86
4192941,11355,-8218582.20,4975798.66
3902833,,-8232825.52,4969508.38
149833,11230,-8232687.66,4956591.48
1014304,10001,-8238369.11,4975470.63
4174041,10001,-8237801.95,4975748.84
4334377,,-8228770.16,4967088.10
193568,11201,-8235698.64,4967024.91
3453593,,-8237273.85,4963074.95
3736074,11217,-8234866.01,4965362.86
40909,10017,-8234897.61,4976315.27
3286327,10460,-8225168.61,4987805.95
3640191,11228,-8238654.21,4954747.70
3375935,11413,-8209041.50,4964814.02
4424379,,-8224169.32,4964431.51
3466367,,-8253412.95,4957132.81
3253745,11216,-8231733.42,4965009.04
3895614,11230,-8234405.59,4957415.59
3153349,11218,-8235132.45,4959919.25
304523,10016,-8235923.59,4975306.76
3717314,11216,-8231795.82,4965294.89
4090216,11354,-8216499.41,4977649.35
4594103,11377,-8226590.52,4975048.52
4461637,,-8237569.29,4966970.35
3910370,10459,-8225200.14,4987487.85
3319538,10458,-8224451.74,4994093.36
4511353,11377,-8226125.76,4975615.71
3970525,11226,-8232714.20,4959471.41
3538461,11434,-8211537.90,4962564.39
4322552,11222,-8231499.71,4972228.63
3495400,10025,-8234034.45,4983317.20
4004704,,-8225067.67,4995212.85
3174151,11219,-8237129.77,4958195.01
3777440,,-8228451.22,4972795.66
4619157,11354,-8219084.25,4977409.34
4243935,11212,-8226907.78,4961854.60
16827,10036,-8236870.83,4976686.72
4222897,11214,-8236143.29,4952297.93
994816,10009,-8235700.31,4972796.40
3866667,,-8230490.04,4985990.54
3768680,11422,-8207451.36,4963720.99
3453329,10462,-8221994.81,4990142.18
3279623,10026,-8232358.04,4983359.33
3510009,11238,-8233624.24,4965037.87
31508,10018,-8237026.35,4976404.78
4514423,11219,-8237777.02,4956868.81
4334834,,-8229186.49,4992960.78
4220143,11357,-8215662.29,4979978.60
3921871,10016,-8235053.70,4975187.67
3979168,11238,-8233999.94,4965504.95
4581995,11209,-8240439.78,4956716.72
4131602,10455,-8226340.72,4985155.04
3419421,,-8229355.70,4972911.71
3591811,10033,-8231009.24,4989968.09
3598251,10468,-8226839.88,4991980.43
4355519,10010,-8235767.03,4973895.14
3717380,11101,-8228669.97,4975593.67
3488549,11357,-8215588.81,4979887.75
3977669,10028,-8232019.13,4978873.29
3799858,11220,-8239807.48,4959872.95
3669447,10469,-8221661.29,4994300.00
4426715,10024,-8235012.95,4981287.97
4605031,11235,-8232262.25,4951408.29
4057702,10460,-8225028.71,4989411.39
4058800,11385,-8222992.67,4968798.66
3866617,10458,-8226216.49,4991531.06
187473,11237,-8228408.53,4968625.49
3646360,11230,-8232821.74,4956571.82
4207036,,-8238274.61,4953224.90
4067015,,-8236535.80,4962487.20
3855669,10010,-8235945.81,4973994.45
3846705,11106,-8230293.01,4977421.10
3333126,11207,-8227734.35,4966727.90
149336,11229,-8232477.11,4955124.99
158265,11215,-8236589.84,4962931.67
3138010,11432,-8214706.01,4969047.38
243057,11377,-8228987.14,4974012.94
4497336,11385,-8222005.27,4968642.43
3846099,11228,-8238831.21,4956786.10
3891137,11434,-8212161.29,4964997.36
3968091,10016,-8236078.73,4975027.36
4578165,11385,-8226475.86,4967614.89
158984,11220,-8238999.66,4959364.60
208297,11421,-8221185.16,4966858.44
4092436,10453,-8227956.41,4990010.76
3874083,10454,-8227742.68,4982690.74
4552073,11203,-8230176.12,4960558.83
4599388,11220,-8240764.39,4959098.36
3569424,11416,-8222019.74,4965909.82
4557304,10040,-8229607.95,4991336.78
3215558,,-8240003.79,4959167.58
39237,10022,-8234798.87,4977343.04
46439,10128,-8232771.77,4980163.20
4347806,,-8245484.78,4953040.61
3992986,11420,-8216825.13,4963938.21
3377441,10467,-8222294.60,4994070.39
3297959,10004,-8239385.23,4968909.05
3397401,11236,-8226920.49,4960321.18
36638,10016,-8234693.20,4974622.88
4458980,10457,-8226181.98,4989774.57
114445,11235,-8233558.06,4951181.50
4455204,10457,-8225269.16,4989967.06
4332998,11385,-8226444.69,4968193.69
3500757,10307,-8265201.69,4940858.59
3908775,,-8235155.44,4976698.76
4602445,11232,-8237847.15,4960319.83
3962931,,-8255831.92,4959205.45
3173240,11419,-8218408.90,4965665.46
3211752,,-8229309.33,4984364.74
4344086,10466,-8220540.86,4996863.26
307047,11354,-8217202.65,4977470.41
3288285,11221,-8229332.56,4967910.16
3364972,11366,-8213488.79,4973057.70
3712637,10016,-8235350.92,4974054.99
3542277,11226,-8232008.44,4959375.18
3455428,11225,-8233444.46,4963800.54
3142190,11412,-8210017.60,4969487.41
3956172,,-8230103.09,4987428.41
3716960,10469,-8221017.87,4994980.21
4205904,,-8216842.94,4951805.24
4019299,11205,-8232647.41,4966642.23
4295646,11203,-8231521.97,4960056.33
162245,11212,-8228295.73,4962305.71
4326195,11421,-8221917.33,4966582.77
4531167,11362,-8208567.34,4975523.43
3162651,11357,-8218106.48,4979850.61
4114173,10462,-8222399.34,4988462.16
3869746,,-8207235.40,4967509.18
3682963,10459,-8225723.34,4986368.75
3683566,10460,-8224869.52,4987962.49
3667091,11226,-8232491.57,4960094.48
3125126,,-8262944.53,4942642.16
4330637,11212,-8227253.98,4963637.63
3194593,11228,-8238024.87,4956554.09
4482863,11215,-8236157.76,4964844.70
343615,11434,-8213062.65,4966966.21
3157288,10451,-8229375.11,4986000.66
4020425,11207,-8227574.58,4966943.93
3987660,11101,-8231811.40,4975147.85
3625507,11369,-8222850.18,4977080.86
4617125,11232,-8237753.64,4961449.90
3879083,11413,-8211319.71,4963242.84
4560752,10304,-8246672.11,4956383.37
3351015,11216,-8232403.22,4964312.04
3148045,10475,-8218988.28,4993187.79
4239343,,-8234642.26,4975932.09
4046449,,-8226043.38,4995604.52
141191,11209,-8239968.27,4957412.10
3166497,11236,-8227902.81,4958800.12
3648688,10036,-8235250.73,4976528.58
3618879,10065,-8233258.56,4977224.30
4095316,,-8238068.67,4976015.41
3272902,,-8230384.19,4984578.28
323739,10463,-8227242.33,4994629.36
3803487,,-8226921.14,4969350.96
3096825,,-8215632.55,4963053.62
4054109,,-8233779.53,4976904.21
310628,10457,-8227109.79,4988736.28
3704256,,-8216632.32,4951696.76
3369667,11354,-8216497.82,4977649.23
3355370,10027,-8233295.52,4985623.68
3457499,10038,-8237284.98,4969860.10
3808704,10461,-8221267.22,4989142.55
3920644,11222,-8232084.14,4972299.14
3607552,,-8216936.34,4968564.89
148949,11230,-8232933.01,4955840.48
3448307,10021,-8232850.01,4978586.22
4053587,10457,-8226419.09,4989995.75
3510158,11101,-8232301.21,4974317.83
3663043,11419,-8218876.08,4966917.50
3739501,11372,-8224180.45,4975839.66
5980,10012,-8236892.13,4971474.94
4455839,11226,-8232746.49,4961192.39
49032,10065,-8233310.72,4977613.99
200136,11211,-8231289.96,4970555.75
257640,11373,-8224851.12,4974650.80
3334408,11692,-8214112.91,4951889.73
3334499,,-8229176.47,4973139.59
3133019,11201,-8235519.30,4966562.67
3735275,,-8215505.32,4952184.47
3256771,11426,-8206722.90,4974130.11
3155027,11231,-8236964.83,4965496.31
162924,11212,-8227181.88,4963844.13
4397989,,-8213117.08,4969454.05
3441807,,-8216682.42,4980981.41
4270798,,-8209036.99,4973372.12
3479945,11691,-8208835.06,4952930.95
2968533,,-8226234.28,4964996.77
3660644,11229,-8232450.38,4953398.48
3309938,11229,-8233032.83,4955044.78
3462693,10040,-8229718.60,4991602.45
4611040,11102,-8230248.48,4978909.74
4438780,10036,-8236871.99,4976686.70
3226279,11385,-8224891.39,4968718.65
4393796,,-8223399.55,4990988.26
161502,11212,-8227633.83,4963370.48
3334249,10469,-8221778.06,4993634.37
110728,10458,-8224843.46,4992820.30
4388528,11429,-8208707.04,4970210.36
4422045,10003,-8236620.41,4971756.82
63410,10031,-8232067.76,4986132.58
116606,11235,-8232394.53,4952096.67
4374900,,-8223909.95,4978667.50
3961259,10065,-8234229.82,4977527.06
4300694,11221,-8231271.50,4967028.20
25654,10003,-8235762.47,4973308.52
3875251,,-8225467.31,4962111.54
3995109,10014,-8237994.09,4972254.19
3294824,11355,-8217146.33,4977309.34
3443849,,-8219608.56,4987662.34
3439262,11357,-8217466.77,4981074.48
4300510,,-8227086.34,4993939.60
4217829,10454,-8228751.23,4984782.47
3951148,11205,-8234090.11,4966642.96
4536682,10009,-8235767.70,4971881.08
75466,10451,-8229651.57,4985318.16
3768389,,-8253283.82,4957266.28
3280994,10455,-8226847.53,4984313.05
1038392,10458,-8225150.75,4993294.65
4308853,11369,-8222192.29,4976843.07
357044,11221,-8231145.47,4966209.37
3555782,10013,-8238350.31,4971508.58
312308,11412,-8210782.91,4969485.53
4159026,,-8227189.98,4994226.10
3538450,11237,-8228260.98,4968055.96
77788,10459,-8225633.07,4985651.14
9004,10013,-8237485.30,4970702.94
20833,10018,-8237026.35,4976404.78
3285952,11215,-8236340.60,4963313.91
3554926,,-8227702.16,4979376.76
4200114,10305,-8245174.20,4955666.68
3154211,10021,-8233007.00,4978299.66
3819894,11370,-8225074.35,4977742.24
4368545,,-8226164.17,4986139.26
203575,11691,-8210564.71,4953158.07
4315738,,-8208702.59,4963016.69
4544463,11421,-8220952.74,4966700.51
4200883,10002,-8236281.99,4971310.14
3812025,,-8231865.39,4986498.94
4178581,11201,-8235519.90,4966562.80
4253781,,-8236954.36,4953805.19
3759770,10038,-8237579.42,4969384.29
5513,10012,-8237321.84,4971466.89
3596403,,-8224035.74,4967154.75
4072227,,-8232206.59,4984382.42
348391,11420,-8217460.74,4965146.20
4358227,11368,-8221185.40,4974752.15
3452336,11358,-8210424.70,4964761.33
19898,10011,-8237606.96,4973854.29
3718725,,-8221511.57,4963148.91
63298,10027,-8232999.71,4985193.98
4068359,,-8234083.43,4976943.45
228534,11420,-8217564.97,4964815.24
3922666,11432,-8215301.61,4969469.46
3757225,10282,-8239180.75,4970778.01
3122258,,-8251022.44,4955017.51
136549,11203,-8230004.70,4961100.95
3206769,11412,-8211191.24,4966968.55
3783149,,-8228554.20,4991029.18
329557,11417,-8220181.51,4965342.85
3882744,,-8215891.60,4973840.78
4300468,11361,-8212821.41,4976943.45
4202190,10464,-8215479.72,4991646.90
3629533,,-8222509.55,4997298.00
1025321,10001,-8236652.76,4975583.15
3996636,,-8232320.58,4960562.50
4272678,11432,-8215284.91,4968742.57
4289346,10018,-8235793.30,4975545.91
4049504,11432,-8213415.86,4970100.95
4319419,10075,-8233660.42,4979403.22
4291161,,-8238913.59,4960499.41
4373200,,-8233268.58,4961636.54
3379131,11213,-8230880.92,4963939.66
3727658,11373,-8225090.49,4972634.65
3824484,,-8218070.13,4966170.83
4000023,11416,-8219874.61,4966564.42
3959355,,-8232015.68,4988153.46
3632553,,-8254240.05,4956988.64
4488972,10454,-8228042.13,4983906.93
4427910,11420,-8217492.38,4964120.20
3905842,,-8226961.21,4978051.33
4454973,11103,-8228513.01,4977783.39
3225989,10039,-8230890.93,4986695.51
4573998,,-8232707.53,4965422.60
4222586,,-8230801.18,4985427.75
3336348,11385,-8226375.51,4969591.91
4038451,,-8231762.42,4982415.02
161382,11233,-8228612.95,4963776.28
4484940,,-8230658.13,4981926.39
3687058,,-8220267.57,4987064.59
4034069,10018,-8236661.59,4976319.60
4143205,10019,-8236053.23,4978169.66
3944252,,-8227521.15,4982940.73
4536810,10029,-8231179.11,4980984.21
1028337,11209,-8240579.00,4958632.63
183838,11216,-8230765.22,4965827.11
3411669,,-8224879.54,4988592.23
4110994,,-8232855.58,4966610.37
4238038,,-8239498.01,4953969.70
4583577,11421,-8221847.20,4966366.96
4311020,10463,-8227315.65,4995416.78
3372734,10003,-8235668.43,4973482.29
309580,11354,-8217143.83,4978697.91
4275395,11101,-8230557.50,4974811.66
95966,10469,-8218895.77,4992102.81
4489857,10455,-8226287.73,4984839.69
145565,11236,-8227988.31,4958726.93
3317363,10075,-8232583.82,4979066.82
4110654,11217,-8235162.12,4965907.47
3187772,11004,-8205557.34,4975043.41
237410,11366,-8215112.27,4971690.73
4164409,10306,-8249861.86,4949190.31
3949909,11201,-8235920.21,4967609.46
4045264,11372,-8223847.16,4976496.69
242993,11377,-8225868.22,4974062.08
149816,11230,-8233143.14,4955809.99
4373328,10465,-8217303.13,4986140.29
3710290,11220,-8238171.09,4959909.04
3482214,11226,-8232017.34,4960820.73
3853251,11420,-8217127.25,4963119.71
4458305,,-8217022.61,4974286.39
3159819,10017,-8234602.56,4975412.52
4574444,10011,-8238426.01,4974562.76
4307255,10451,-8229397.33,4986977.05
4428290,10455,-8228416.16,4985462.02
3368605,10462,-8221952.44,4987801.29
4289343,10016,-8235770.48,4974737.02
247321,11360,-8213141.52,4981014.83
3161018,11216,-8232408.84,4965068.25
4157442,11222,-8231842.57,4972727.93
4144021,10460,-8224891.78,4989324.28
3975246,10474,-8224850.60,4986200.46
3522195,11220,-8239085.02,4960769.38
